,sentimen,tweet,clean_tweet
207,-1,td mikirnya gtu pngn ngegas jg tp apalah aku ini hanya orng kecil tidak pnya pengaruh jd ngegasnya sia2 kwkwkwk ,td mikirnya gtu pngn ngegas jg tp apa orng pnya pengaruh jd ngegasnya sia kwkwkwk
208,1,aku suka mie sedap kalau di tumis ulang pake bawang merah bawang putih telor daun bawang irisan ca ,suka mie sedap tumis ulang pake bawang merah bawang putih telor daun bawang iris ca
209,0,sebenarnya ramai sifu2 property approach aku utk join kelas investment etcemua cerita beli rumah murah dan sewakan ,ramai sifu property approach utk join kelas investment etcemua cerita beli rumah murah sewa
210,0,kamu sudah shalat jum'at belum letsfridaypray,shalat letsfridaypray
211,-1,nak tnggu org reply email mmg lambat ah citenya aku nak settle kan bulan ni jgk ,nak tnggu org reply email mmg lambat ah citenya nak settle ni jgk
212,-1,rlt mutualan yu yang gamasalah aku suka rt in ga sama twt receh rt ya dn aku ada tapi follback kalo ngga maapin ak ,rlt mutualan yu gamasalah suka rt in ga twt receh rt dn follback kalo ngga maapin ak
213,0,giveaway ina only adakah yg masih nungguin wdtv sampai hampir gila kaya aku help dong 1 1 doa boleh sekalian ,giveaway ina only ada nungguin wdtv gila kaya help doa
214,0,semoga kamu jadi salah satu dari 3ahabat yang beruntung dapetin pulsa 50k ya jangan lupa like dan ajak 3 teman kamu unt ,moga salah ahabat untung dapetin pulsa k lupa like ajak teman unt
215,-1,sedara aku buat hal pergi kenduri kahwin lepas tu ramai sangat orang lepas tu risau tak dapat tempat duduk maka htt ,dara hal pergi kenduri kahwin lepas tu ramai orang lepas tu risau tak duduk htt
216,1,jika aku jadi ratumu maka pasti kau rajanya ya kan ,ratu raja
217,0,aku baru je tukar tayar depan myvi sepasang rm 450 semalam ,je tukar tayar myvi pasang rm malam
218,0,hallo td aku berselancar di twt ttg belanja di gmarket gitu trs nemu km pernah beli album di gmarket ,hallo td selancar twt ttg belanja gmarket trs nemu beli album gmarket
219,-1,boleh kot kalau nak buat insta story takyah jerit2 bingit sia telinga aku ckp biasa2 pun orang dah dgr ,kot nak insta story takyah jerit bingit sia telinga ckp orang dah dgr
220,-1,orang selalu kata aku penat when dia sebenarnya tengah rasa sedih ,orang penat when sedih
221,-1,aku beria sekalipun bukannya kau nak appreciate ,ria nak appreciate
222,0,aku nak buat nie ti,nak nie ti
223,0,pipi nya cubit pipi kamu emang mau nya di cium dmn ,pipi cubit pipi cium dmn
224,-1,aku harap dia tak jual fhone 8 dia semata nak beli xs tu ,harap tak jual fhone nak beli xs tu
225,0,memang best tengok ikan datang aku pon pernah buat dekat pulau bagi makan roti tapi perbuatan tu salah ikan kene ma ,best tengok ikan pon pulau makan roti buat tu salah ikan kene ma
226,0,kalo aku bacanya sih emang kamu yang ngetik ga jelas wkwkwk,kalo baca ngetik ga wkwkwk
227,1,aku penggemar mie burung dara enaknya nyambung terus,gemar mie burung dara enak nyambung
228,-1,assalam macam mana lelaki boleh ingat jalan jauhelekoh belok2 tanpa rujuk maps even pernah pergiekali je kalau aku ,assalam lelaki jalan jauhelekoh belok rujuk maps even pergiekali je
229,-1,kalen kalen pada jahad ma aku ,kalen kalen jahad ma
230,-1,weyhh tolonglah faham aku sakit kau langsung tak kesah aku baru balik drpd klinik aku gagahkan badan aku untuk ,weyhh tolong faham sakit langsung tak kesah drpd klinik gagah badan
231,-1,lebih baik aku seperti kopi yang dibiarkan membasi daripada kau sapa tapi sekedar basa basi ,kopi biar basi sapa basa basi
232,0,giveaway pulsa 20k untuk 1 orang pemenang caranya retweet dan follow akun aku aja ya pemenang aku umumin tangga ,giveaway pulsa k orang menang retweet follow akun menang umumin tangga
233,1,ni kalau suami aku panggil sayang macam ni we're gonna make babies right after ,ni suami panggil sayang ni were gonna make babies right after
234,0,ngapain kamu ,ngapain
235,-1,aku confuse dgn penjual kt malaysia ni macam asik tunjuk kekayaan je nak jual ke nak show off tunjuk kekayaan then ,confuse dgn jual kt malaysia ni asik kaya je nak jual nak show off kaya then
236,1,be strong bro ,be strong bro
237,0,pernah pas masih ngajar privat gt adek kakak muridnya adek aku weekend ini mau ke spore miss pernah ke s ,ngajar privat gt adek kakak murid adek weekend spore miss s
238,0,aku dok bayang macam alien keluaq dari dada,dok bayang alien keluaq dada
239,1,di antara buku buku kesukaan yang kaubaca sampai malam kian jauh dan sendiri aku ingin jadi buku yang menelungkup di d ,buku buku suka baca malam kian buku telungkup d
240,0,adik aku yang darjah 5 tetiba masuk bilik pastu bagi pantun bread is rotihadow is bayangebelum akak mati better ,adik darjah tetiba masuk bilik pastu pantun bread is rotihadow is bayangebelum akak mati better
241,0,fastga gifwinner palinguka pake banget yang iniiiii yoon as the cutest and mino pampers him ,fastga gifwinner palinguka pake iniiiii yoon as the cutest and mino pampers him
242,0,laki pun ada je ayat ni lahai ,laki je ayat ni lahai
243,0,diam tak berarti kamu kalah kadang itu hanya berarti kamu tak ingin berdebat dng orang yg bahkan menolak tuk mendengarkan ,diam tak kalah tak debat dng orang tolak tuk dengar
244,0,tengok ni ,tengok ni
245,0,tls followan ama aku yukk rep rt kita temenan,tls followan ama yukk rep rt temenan
246,0,isteri tak sihat sejak smlm mcm biasa aku keluar pagi jam 6 30am dia yg akan hantar anak2 ke tadika taska but to ,isteri tak sihat smlm mcm pagi jam am hantar anak tadika taska but to
247,1,cerita hari ini aku baru beli 2 hamster biar ngga kesepian aja sih di rumah aku pandaaaang terus mereka berdu ,cerita beli hamster biar ngga sepi rumah pandaaaang berdu
248,0,aku ngak haha cuma bawa tas selempang kecil aja udah kemana2 ,ngak haha bawa tas selempang mana
249,0,biasanya lewat jalur mana ke arah kampung kamu ,jalur kampung
250,-1,udah gausah baper dia itu ngetik cuma pake jari jadi kamu bacanya pake mata aja gausah pake hati ,gausah baper ngetik pake jari baca pake mata gausah pake hati
251,1,tak perlu takut untuk meninggalkan sesuatu yg tidak menghormatimu masih banyak kesempatan untukmu menjadi lebih terhormat jika kamu berani ,tak takut tinggal hormat sempat untuk hormat berani
252,-1,hati aku kecewa aku sedih aku aku sorang je tahu orang lain tak tahu ,hati kecewa sedih sorang je orang tak
253,1,let me make this clear paan dlm hidup ni kan kalau kita xrasa gagal kita xkan ada motivasi n ,let me make this clear paan dlm hidup ni xrasa gagal xkan motivasi n
254,-1,1 may aku postedih karena gak bisa nonton homeshake amp mild high club di jakaa dan cosmo pyke diingapore ,may postedih gak nonton homeshake amp mild high club jakaa cosmo pyke diingapore
255,1,ya allah aku berlindung kepada mu dari siksa kubur dari siksa neraka jahannam dari fitnah hidup dan mati dan dari f ,allah lindung mu siksa kubur siksa neraka jahannam fitnah hidup mati f
256,0,rlt yang suka jb2 yuk followan aku butuh temen ngobrol ga cuman butuh followers rt aja yaaa,rlt suka jb yuk followan butuh temen ngobrol ga cuman butuh followers rt yaaa
257,0,memang best tengok ikan datang aku pon pernah buat dekat pulau bagi makan roti tapi perbuatan tu salah ikan kene ma ,best tengok ikan pon pulau makan roti buat tu salah ikan kene ma
258,1,kuis lagi kuis lagi emang daihatsu baik banget yaahabat bagi bagi hadiah pulsa terus kuis kali ini kamu harus menebak ,kuis kuis daihatsu yaahabat hadiah pulsa kuis tebak
259,0,kalau tak bersungguh nak jaga aku boleh je berhenti berpura2 aku boleh jaga diri aku tanpa memaksa kau kau tak perl ,tak sungguh nak jaga je henti pura jaga paksa tak perl
260,0,ab yg bucin exo mutualan yuu rt rep yaa dn aku ada nya janji follback kenalan ya ,ab bucin exo mutualan yuu rt rep yaa dn janji follback kenal
261,-1,sakdurunge koe dadi uler aku wes dadi kupu dadi saranku rasah perlu ngetoke goblokmu nganggo coro mbanggake bab nakalm ,sakdurunge koe dadi uler wes dadi kupu dadi saran rasah ngetoke goblok nganggo coro mbanggake bab nakalm
262,1,stay beside you was my job hehee sayang kamu ,stay beside you was my job hehee sayang
263,0,sebenernya aku gapapa sih which is itu tuh penting bgt kan karena english tuh literally international language tp prefer bah ,gapapa which is tuh bgt english tuh literally international language tp prefer bah
264,-1,dah lah cpk aku,dah cpk
265,-1,sedih bila aku dengan cerita dr patient aku huhu makcik nie masuk ward sebab heart attack baik sngt suka tegur aku senyu ,sedih cerita dr patient huhu makcik nie masuk ward heart attack sngt suka tegur senyu
266,0,benda yang aku rasa tak perlu nak bawak gurau 1 rupa paras 2 bentuk badan 3 insecurities kita contohnya kita gagap pas ,benda tak nak bawak gurau rupa paras bentuk badan insecurities gagap
267,0,ga ko aku juga pake bagpack,ga ko pake bagpack
268,1,hahahahaha terhibur betul lah lol semua tempat dia tiful kan ingat ke aku sorang je perasan typo dekat caption tu ,hahahahaha hibur lol tiful sorang je peras typo caption tu
269,0,aku meninggal nanti aku harap tak adalah orang yang post gambar kubur aku letak caption panjang lebaq kau sedekah al ,tinggal harap tak orang post gambar kubur letak caption lebaq sedekah al
270,0,aku ingatkan berhari hari takda data ada la org cari aku dekat ws rupanya takda langsong ,ingat hari takda data la org cari ws takda langsong
271,0,baca ni aku tergolong org yg kaya ,baca ni golong org kaya
272,1,fams sama aku yuk ,fams yuk
273,0,hari2 kalau tido brape jam je boleh mati sia otak aku ,tido brape jam je mati sia otak
274,0,hi semuanya aku adain give away nih give away nya album bts yg love yourself answers yey cukup follow dan retwee ,hi adain give away nih give away album bts love yourself answers yey follow retwee
275,0,sembang dengan budak legend aku kau belajar kat mana main ml memboi ,sembang budak legend ajar kat main ml boi
276,-1,aku nangis nih ,nangis nih
277,0,bts aku sedang sibuk menafkahi keluargaku dan mengejar impianku army aku sedang sibuk menafkahi orang yang sudah je ,bts sibuk nafkah keluarga kejar impi army sibuk nafkah orang je
278,1,aku cuba nak amalkan sikap pergi mampus tapi sayang aku gagal sebab aku jenis mudah kesian dan mudah memaafkan ,cuba nak amal sikap pergi mampus sayang gagal jenis mudah sian mudah maaf
279,-1,aku ditusuk dr belakang sakit ,tusuk dr sakit
280,0,askmf ayah aku ayah kan gak suka pedes tp kenapa masakan mama yg pedes tetep ayah makan soalnya mama kamu m ,askmf ayah ayah gak suka pedes tp masakan mama pedes tetep ayah makan mama m
281,0,aku tahu kalau check in the girls akan idamkan peluk sambil tido but then tak rasa kebas ke lelaki statik je tido mcm tu na ,check in the girls idam peluk tido but then tak kebas lelaki statik je tido mcm tu na
282,0,tahukah kamu 14eptember diperingati sebagai hari kunjung perpustakaan peringatan ini dimulai sejak tahun 1995 oleh p ,tahu eptember ingat kunjung pustaka ingat p
283,0,aku tak tahu kenapa bila time gaduh je english aku automatic power aku rasa time exam nanti kena gaduh dulu before jawab ,tak time gaduh je english automatic power time exam kena gaduh before
284,0,nctea selama ini aku cuma tau fotonya jisung aja yg disini dan sekarang udah tau video nya mission complete https ,nctea tau foto jisung tau video mission complete https
285,0,tadi kt dapur nk mkn aku nyanyi la lagu aizat jika ku air wudhukmu menjadi serimu dalam lima waktu mak pun sound da ,kt dapur nk mkn nyanyi la lagu aizat ku air wudhukmu seri mak sound da
286,-1,selama ni mmg ketinggian tk pernah jdi penghalang rupa yg selalu menjadi penghalang ,ni mmg tinggi tk jdi halang rupa halang
287,-1,sedihnya rasa kadang kadang bila doa yg aku doa termakbul walaupun aku bukan hambanya yg terbaik allah tau apa yg kita pe ,sedih doa doa makbul hamba baik allah tau pe
288,0,aku tambahin deh nih,tambahin deh nih
289,-1,i baru 3a hm mengecewakan hang takmau a tu mai kat aku ' ,i a hm kecewa hang takmau a tu mai kat
290,0,aku pernah ketemu lisa blackpink lagi solat di mesjid thailand dia wudhu juga aku liat ,ketemu lisa blackpink solat mesjid thailand wudhu liat
291,1,wkwkwk gt lt berdoa aja kamu lip yg banyak semoga ganteng wowognya ,wkwkwk gt doa lip moga ganteng wowognya
292,0,aku macam tahu je siapa bdhshshhs,je bdhshshhs
293,-1,tapi aku tgok lelaki asia pun mostly lpas kawin badan naik dan boroi ,tgok lelaki asia mostly lpas kawin badan boroi
294,0,kamu akan tanya karena aku pun juga mau tanya ,
295,1,udah tau ikon dari jaman win yang aku suka pertama itu taehyun terus suka yunhyeong aku dukung ti ,tau ikon jaman win suka taehyun suka yunhyeong dukung ti
296,0,aku lg baca buku ini yg suka puisi yuk reply halamannya dari 2 sampe 153 nanti aku fotoin rlt ,lg baca buku suka puisi yuk reply halaman sampe fotoin rlt
297,0,kenapa nama kucing sama denngan nama aku ,nama kucing denngan nama
298,1,gilaaa beliin aku dong kak ,gilaaa beliin kak
299,0,aku jual yg penting emailnya masih aktif,jual email aktif
300,0,ayo siapa lagi yang mau ,ayo
301,0,freebies alle yuk cari aku di venue dan ikutin rules di gambar ini untuk dapetin freebies idealcutinjkt apinkinjkt ,freebies alle yuk cari venue ikutin rules gambar dapetin freebies idealcutinjkt apinkinjkt
302,0,woooojin apaaa jihoon ha,woooojin apaaa jihoon ha
303,0,kahkah tu lah aku confuse ni hmmm,kah tu confuse ni hmmm
304,-1,wanita yang paling malang di dunia adalah wanita yang tersalah pilih suami isteri adalah cerminan suami cantik suamimu cant ,wanita malang dunia wanita salah pilih suami isteri cermin suami cantik suami cant
305,0,ga yg ini aku masih pilih2 pemenangnyausah komentarnya pada bagus2 jdi bingung pilihnya tunggu sebentar lg okem ,ga pilih pemenangnyausah komentar bagus jdi bingung pilih tunggu sebentar lg okem
306,0,bila cg intai kertas exam masa kau buat ,cg intai kertas exam
307,-1,me doin math paper 1 hshshshshshsh bodo asal takama dgn jawapan aku hshshssh 5 minit lagi tembak ,me doin math paper hshshshshshsh bodo takama dgn jawapan hshshssh minit tembak
308,-1,gila punya perempuan gaduhikit sampai 7 bulan tak tegur lelaki gaduh hari ni esok dah stable sesama ,gila perempuan gaduhikit tak tegur lelaki gaduh ni esok dah stable
309,0,mau acc kamu jadi rame yuk upfoll di aku gt lt harga dan rules bisa cek pinned ya t upfoll rp,acc rame yuk upfoll gt harga rules cek pinned t upfoll rp
310,-1,yng aku blja a yng kuar ujian b yng aku jwb c dan aku dpt gred g ehh taknk la yg dapt btul2 a ,yng blja a yng kuar uji b yng jwb c dpt gred g ehh taknk la dapt btul a
311,0,wao ada ainul ada manul dekat gtdc tapi tulah aku takdak ah kat situ baik balik boh ,wao ainul manul gtdc tulah takdak ah kat boh
312,1,kalau kamu mau dihormati harus mau menghormati,hormat hormat
313,0,aku daftarr g jfclosedday,daftarr g jfclosedday
314,-1,makin aku besar makin banyak perkara yang aku pendam dan tak kongsi dengan orango jangan pelik kalau aku dah tak kuat semb ,besar perkara pendam tak kongsi orango pelik dah tak kuat semb
315,1,tolong lah setiap hari tu sebelum tidur tanya diri sendiri dan self reflect perangai babi sampah apa ye aku buat harini ,tolong tu tidur self reflect perangai babi sampah ye harini
316,-1,tadi pamitnya tidur tapi aku cek ig di dm kamu kok ada ijo ijonya ya ,pamit tidur cek ig dm ijo ijonya
317,1,bibi adikku si cantik suka banget liatnya kalau kamu lagi seneng enggak tau kenapa jadi ikutan seneng bi pos ,bibi adik cantik suka liat neng enggak tau ikut neng bi pos
318,-1,jangan jadi kompor kamu ya jeffan,kompor jeffan
319,1,aku ikut habib lutfi aja rois aam jam'iyyah ahlith thariqah al mu'tabarah an nahdliyyah yg meminta menurunkan bendera yg k ,habib lutfi rois aam jamiyyah ahlith thariqah al mutabarah an nahdliyyah turun bendera k
320,1,omg kamu harus melihat ini bigolive ,omg bigolive
321,0,ohh buatpa weh dkt dgn aku dh tuu hahahaha,ohh buatpa weh dkt dgn dh tuu hahahaha
322,0,erm macam tautau je apa yang aku perlukan sekarang ,erm tautau je perlu
323,-1,orangnya ganteng wangi murah senyum asik lemah lembut tapi ngetik aku masih aq bhay mz ,orang ganteng wangi murah senyum asik lemah lembut ngetik aq bhay mz
324,0,my dear followers and friends kalau korang ada buat photoshoot makanan tolong dm aku tolong dm aku price untuk photoshoot fo ,my dear followers and friends korang photoshoot makan tolong dm tolong dm price photoshoot fo
325,0,boleh mintak dilan satu bila dengar dilan sebut semua ni kan kau takkan rasa geli tau konon mcm nak kata dia jiwang and ,mintak dil dengar dil ni tak geli tau konon mcm nak jiwang and
326,1,jadi dirimu sendiri agar ketika seseorang mencintai kamu tak perlu takut jika dia akan temukan dirimu bukan orang ,diri cinta tak takut temu diri orang
327,0,aku naik bas ke bot nii ,bas bot nii
328,0,coba posisinya dituker deh kamu suka makan aku suka masak,coba posisi dituker deh suka makan suka masak
329,0,giveaway diadakan dlm rangka bday guanlin mau tambah tmn monbebe amp nctzen ,giveaway adakan dlm rangka bday guanlin tmn monbebe amp nctzen
330,-1,minta ais batu je la anjir ,ais batu je la anjir
331,-1,iya sabar aku mah tiap ada jeno selalu melesat mengetag amu ,sabar jeno lesat mengetag amu
332,-1,omg batuk aku berdarah adakah ini jumaat yang terakhir ,omg batuk darah ada jumaat
333,0,untung mak aku ada anak yang suka tangkap gambar ni cuba teka umur dia berapa ,untung mak anak suka tangkap gambar ni cuba teka umur
334,0,ku tak marah kau kacau tidurku tiap pagi genggamanmu kecil hanya muat satu jari tapi didalam kampung hatiku kau gergasi ,ku tak marah kacau tidur pagi genggam muat jari dalam kampung hati gergasi
335,0,rangorang ni pasti mikir kalo crazyrichsurabayan tampilannya perlente pake barang mewah dari atas ampe bawah tapi bias ,rangorang ni mikir kalo crazyrichsurabayan tampil perlente pake barang mewah ampe bias
336,0,giveaway pulsa 20k untuk 1 orang pemenang caranya retweet dan follow akun aku aja ya pemenang aku umumin tangga ,giveaway pulsa k orang menang retweet follow akun menang umumin tangga
337,1,saat ditanya aku hanya diam dan mengangguk kutahu bahwa dia orang yang baik,diam angguk tahu orang
338,1,aku pake himalaya neem mask juga gini kok bagus emg matull banget,pake himalaya neem mask gin bagus emg matull
339,0,aku bukan gadis yg berniqab tapi alhamdulillah aku sudah berhenti berselfie dan share gmbar ,gadis berniqab henti berselfie share gmbar
340,-1,kepada perempuan yang tak tau leher tu juga aurat tak kisah lah kau pakai turban ke serban ke lantak kau parents kau t ,perempuan tak tau leher tu aurat tak kisah pakai turban serban lantak parents t
341,0,kuat sangat hantu kat rumah aku ni ,kuat hantu kat rumah ni
342,-1,lah aku tuh susaaah orang dikit dikit kepikiran makanya anaknya gampang pusing dan stress sendiri ,tuh susaaah orang dikit dikit pikir anak gampang pusing stress
343,0,terus aku nanti duduk diatas situ gitu ,duduk atas
344,0,kalo nilai ulangan kamu jelek jangan lagi panggil aku ayah oke yah keesokan harinya gimana hasil ulangannya ,kalo nilai ulang jelek panggil ayah yah esok hari gimana hasil ulang
345,-1,hati aku kecewa aku sedih aku aku sorang je tahu orang lain tak tahu ,hati kecewa sedih sorang je orang tak
346,1,selalu buat macam ni setiap kali nampak peti ais kat dapur haha,ni nampak peti ais kat dapur haha
347,0,apa daya aku ini yg fanatiknya sama mi gaga rasa black paper ,daya fanatik mi gaga black paper
348,0,membe aku baru lepas guna pickup line masa nak bayar makan tadi awak orang mana malaysia yela duduk manaini je ,membe lepas pickup line nak bayar makan awak orang malaysia yela duduk manaini je
349,0,syukurlah kamu tahu tahu hubungannya dgn permesta jg ya ,syukur hubung dgn permesta jg
350,-1,dulu waktu kecil gue mikirnya gapapa sekarang jelek item dekil buluk nanti gedenya cakep sampe sekarang sudah 13928174 ,mikirnya gapapa jelek item dekil buluk gede cakep sampe
351,0,aku malah nangkepnya kreatif lucuk sih daripada dia naro link mv di tweet berita yg ga ada hubungan sama se ,nangkepnya kreatif lucuk naro link mv tweet berita ga hubung
352,1,idola aku banget itu mba ,idola
353,-1,tu ah pelik aku sunyi sepi damak haritu ,tu ah pelik sunyi sepi damak haritu
354,-1,kenapa ya mimpi itu langsung lupa padahal semalem aku mimpi dapetin kamu tapi sekarang lupa caranya recehkantwiter,mimpi langsung lupa salem mimpi dapetin lupa recehkantwiter
355,-1,mau nangis banget aku pas ngerujuk pasien pake ambulance ni mas gojeknya bantuin bukain jalan padahal beliau bukan k ,nangis ngerujuk pasien pake ambulance ni gojek bantuin bukain jalan k
356,0,maryan sejak zaman evdo rev b kamu masih balita sampe zaman now 5g depan mata dirumah sy speed ,maryan zaman evdo rev b balita sampe zaman now g mata rumah sy speed
357,0,tls followan ama aku yukk rep rt kita temenan,tls followan ama yukk rep rt temenan
358,0,otobiografiebuah banatu bangunan itu seperti rumah tradisional dayak akan tetapi ada bedanya kalau rumah da ,otobiografiebuah banatu bangun rumah tradisional dayak beda rumah da
359,1,sesungguhnya penguasaan diri adalah penanda dari kedewasaan seseorangelamat buat kamu yang memang benar benar sudah b ,kuasa tanda dewasa seseorangelamat b
360,0,orang sabah jangan kamu kasitau pulau mana yang selamat biar dorang kenak culik betul betul oleh abu sayap ,orang sabah kasitau pulau selamat biar dorang nak culik abu sayap
361,0,bodo betul aku terhibur bodo ada member ceni ,bodo hibur bodo member ceni
362,0,aku penasaran bagaimana akhir kisah kita ,penasaran kisah
363,0,aku tambahin lagi deh biar jadi dua,tambahin deh biar
364,0,tweet bangang mcm ni masih berkeliaran di socmed mari kawan2 kita tengok gender mana yg trash huhu ,tweet bangang mcm ni keliar socmed mari kawan tengok gender trash huhu
365,0,macam cekgu,cekgu
366,0,suk mben kesepakatan nde e kerjo karo gawe kopi dewe aku nganggur karo nukokke maeman ning ,suk mben sepakat nde e kerjo karo gawe kopi dewe nganggur karo nukokke maeman ning
367,0,tengok anak buah aku gais ,tengok anak buah gais
368,-1,aku pun tak faham dengan diri aku ,tak faham
369,1,hahahaha pastu buat2 terkejut eh dah sampai aku tumbokk muka kau kang ,hahahaha pastu kejut eh dah tumbokk muka kang
370,-1,boleh plk dio gi langgar lampu merah kt simpang nk belok kanan aku sempat nepik lagi time kereta merc dari kiri nk ,plk dio gi langgar lampu merah kt simpang nk belok kanan nepik time kereta merc kiri nk
371,1,karena presentasi hari ini lancar aku mau bikin ga album only wanna ver one ver aja no need to follow tapi ,presentasi lancar bikin ga album only wanna ver one ver no need to follow
372,-1,aku malas nak ikut perkembangan latest iphone xs tu hahahahah sebab tak check pun kalau korang boleh tolong bagitahu kat ,malas nak kembang latest iphone xs tu hahahahah tak check korang tolong bagitahu kat
373,-1,kenapa aku jenis reply chat orang cepat nak mampus sedangkan orang tu lepas sejam baru dia reply and aku boleh terima de ,jenis reply chat orang cepat nak mampus orang tu lepas jam reply and terima de
374,-1,misalnya ada suatu kondisi dmn aku bnran lg galauin km trus km ngetweet galau seolah2 itu buat aku padahal buat org lain itu babi namanya ,kondisi dmn bnran lg galauin trus ngetweet galau org babi nama
375,1,shopee kamu apaa mau dong,shopee apaa
376,0,mutualan yuk aku ikonic jg btw rt aja ya fllbck tpi hehe ab ,mutualan yuk ikonic jg btw rt fllbck tpi hehe ab
377,0,aku juga mau puk pukin yuqi ,puk pukin yuqi
378,0,periksa ke dokter kalo didiemin doang bisa kena penyakit lambung dan mesti di rujuk kerumah sakit kaya aku waktu itu,periksa dokter kalo didiemin kena sakit lambung rujuk rumah sakit kaya
379,1,laksanakan segala apa yang diwajibkan allah niscaya kamu menjadi orang yang paling bertakwa hr ath thabrani ,laksana wajib allah niscaya orang takwa hr ath thabrani
380,0,naik lift dgn member nak jumpa prof tingkat 5 aku keluar tingkat 4 member keluar tingkat 6 hahahahah bongok apa memasing ,lift dgn member nak jumpa prof tingkat tingkat member tingkat hahahahah bongok memasing
381,0,dulu paling lama pun x betegur dgn bff sendiri ada la dkt 3bulan kot rasanya,x betegur dgn bff la dkt kot
382,-1,udah kyk gini aja msh di bilang males temen temen aku baju sm celana dalam nya aja juga masih di cuciin emak nya ,kyk gin msh bilang males temen temen baju sm celana cuciin emak
383,0,dear cowok salat jumat nggak bikin kamu ganteng tapi bikin kamu jadi calon imam yang baik ingatalat jumat itu ,dear cowok salat nggak bikin ganteng bikin calon imam ingatalat
384,-1,mbaknya takut kamu marahin makanya bilang enggak kalo mau coba tanya sekali lagi tapi pas kondisin ,mbak takut marahin bilang enggak kalo coba kondisin
385,0,3 julukan mahasiswa yang wajib kamu tau gt nyawwwenyawwwa artikelnyawww infonyawww,juluk mahasiswa wajib tau gt nyawwwenyawwwa artikelnyawww infonyawww
386,0,help butuh donasi buat kucing jadi ini kucing suka ada disekitaran rumah aku dulu sering bgt kerumah dan tidur di ku ,help butuh donasi kucing kucing suka sekitar rumah bgt rumah tidur ku
387,-1,crush kalau nak tegur ye tegur kalau suka cakap suka daripada kau dok tengok je story aku tak pernah missebb ,crush nak tegur ye tegur suka cakap suka dok tengok je story tak missebb
388,1,aku cinta segala promo grabfood karena bisa makan burger mcd seharga ayam geprek ,cinta promo grabfood makan burger mcd harga ayam geprek
389,0,nanti cd aku keliatan kalo kamu morotin ,cd liat kalo morotin
390,0,tlg please bg perempuan tu baca malu wei lagi malu bila dia beria cerita kat kwan dia n aku skli dengar aku n ,tlg please bg perempuan tu baca malu wei malu ria cerita kat kwan n skli dengar n
391,1,aku mungkin luaran nampak happy go lucky sentiasa tersenyum dgn orang sekeliling friendly gelak ketawa sampai berdekah a ,luar nampak happy go lucky sentiasa senyum dgn orang keliling friendly gelak ketawa dekah a
392,0,org bilang time2 mngandung ni jaga mulut aku inilah peluang aku mau menyumpah time2 mngandung ni lah mujarab doa,org bilang time mngandung ni jaga mulut peluang sumpah time mngandung ni mujarab doa
393,0,ada yang cakep aslinya daripada fotonya cakep fotonya daripada aslinya aku jelek keduanya ,cakep asli foto cakep foto asli jelek
394,1,aku cinta w1 ,cinta w
395,-1,aku menyerah bapa,serah bapa
396,0,pah butang baju melayu aku mana pah ,pah butang baju melayu pah
397,0,7 and aku tingkat 4 tapi wehhhh bila bunyi tu boleh rasa dia punya gegar dia jalan kuat2 and boleh ,and tingkat wehhhh bunyi tu gegar jalan kuat and
398,0,bila dekat universiti aku selalu dengar orang label student macam ni deme pandai hadap buku je tapi soal hidup deme ,universiti dengar orang label student ni deme pandai hadap buku je hidup deme
399,0,hmmm cari topik yang paling terbaru dan ada gap di antara penelitian sebelum2nya jadi kamu bisa isi g ,hmmm cari topik baru gap teliti isi g
400,-1,apa yang kau nak sebelum meninggal aku nak sebelum aku mati allah ampunkan semua dosa aku dan matikan aku dalam kead ,nak tinggal nak mati allah ampun dosa mati kead
401,0,nak try jugak laaa tapi tulah aku jela yg selalu ckp takecare hm ,nak try jugak laaa tulah jela ckp takecare hm
402,1,done watching dilan 1990 2018 dari start movie sampai habis aku senyum sorang nasib baik tengok sengsorang kalau ram ,done watching dil start movie habis senyum sorang nasib tengok sengsorang ram
403,-1,kamu salah wiwin manusia itu buat teman hidup bukan utk berharap berharap itu sm tuhan alloh ,salah wiwin manusia teman hidup utk harap harap sm tuhan alloh
404,-1,nggak pengen suudzon dulu kupernah gini yg ilang charm gitu kejadiannya sama persis aku pamerin ,nggak suudzon pernah gin ilang charm jadi persis pamerin
405,0,kerjaan apa kamoo hmb,kerja kamoo hmb
406,0,urutannya sesuai sticker yah btw itu aku double essence dan laneige dipake 4x dalam seminggu aja selang se ,urut sesuai sticker yah btw double essence laneige dipake x minggu selang
407,-1,kenapala aku taktegur kau tadi hm padahal niat aku nak tegur kau nak jadi kawan macam sebelum sebelum nierious aku t ,kenapala taktegur hm niat nak tegur nak kawan nierious t
408,-1,walaupun diri ini dah hancur percayalah aku cuba juga untuk membahagiakan orang sekeliling tanpa putus asa itu sahaja ya ,dah hancur percaya cuba bahagia orang keliling putus asa
409,-1,kenapa aku nangis baca komik ni ,nangis baca komik ni
410,1,aku mau ,
411,0,kalau awek kamu bising nothing is wrong once awek kamu dah senyap everything is wrong perhaps dia dah ada someone yg ,awek bising nothing is wrong once awek dah senyap everything is wrong perhaps dah someone
412,0,tapi ada sih di beberapa gramed yang jilid sebelum 18 masih dijual di sana walau sebenernya itu cuma bua ,gramed jilid jual bua
413,-1,semua masa lalu biarlah berlalu tapi rasa syg aku ke kamu gak bakal bisa berlalu gitu aja aku syg kamu ' ,biar syg gak syg
